full_name,has_rego,has_sentinel,has_pulumi,has_cedar,has_kyverno,has_custodian,has_awsconfigcloudgaurd,has_opagatekeeper
ZacHaque/opal-rego,True,False,False,False,False,False,False,False
Zack4DEV/Typescript-ASP.NET--EmployeeManagement,False,True,False,False,False,False,False,False
ZaidZaim/HoloSight,False,True,False,False,False,False,False,False
Zamanof/4211_ru,False,True,False,False,False,False,False,False
ZenShouko/BlazerTodoItem,False,True,False,False,False,False,False,False
ZenaguiAnas/ChatApp,False,True,False,False,False,False,False,False
ZephiroRB/DemoGraphql,False,True,False,False,False,False,False,False
ZeynepKURI/Student-Registration-System,False,True,False,False,False,False,False,False
Zeynepozden34/NBUY,False,True,False,False,False,False,False,False
ZiadArafaa/SendingEmails,False,True,False,False,False,False,False,False
ZinedineChelgham/distributed-interfaces-project-tangiLearn,False,True,False,False,False,False,False,False
Zino234/CWCommApi,False,True,False,False,False,False,False,False
Zookerman3/Commit-Scraper,False,True,False,False,False,False,False,False
a-mand/UC18_teste,False,True,False,False,False,False,False,False
a2d24/python-opa-wasm,True,False,False,False,False,False,False,False
aGrabson/Gmina,False,True,False,False,False,False,False,False
aaron47/Issues-API,False,True,False,False,False,False,False,False
aavarghese/opa-schema-examples,True,False,False,False,False,False,False,False
aayobam/contacts-api,False,True,False,False,False,False,False,False
aayussraut/dotnet-lab,False,True,False,False,False,False,False,False
abbaspour/opc-backend,True,False,False,False,False,False,False,False
abbywysopal/ResponsiveAR,False,True,False,False,False,False,False,False
abdulayef1/ParkCinema_Backend,False,True,False,False,False,False,False,False
abhishekd07/terraform,False,True,False,False,False,False,False,False
abircharfi/CSharp.NET,False,True,False,False,False,False,False,False
abnamrocoesd/eks-opa-demo,True,False,False,False,False,False,False,False
abraaomarcos/Naruto-Project-API,False,True,False,False,False,False,False,False
absolutelightning/policy-library-demo,False,True,False,False,False,False,False,False
absolutelightning/policy-library-demo-test,False,True,False,False,False,False,False,False
abuch57/alec-cpm,True,False,False,False,False,False,False,False
abuxton/LV-426,False,True,False,False,False,False,False,False
abuxton/learn-sentinel-policies,False,True,False,False,False,False,False,False
abuxton/terraform-sentinel-bootstrap,False,True,False,False,False,False,False,False
abuxton/tfx-vmp,False,True,False,False,False,False,False,False
aceodus/go-echo-boilerplate,True,False,False,False,False,False,False,False
achuchulev/learn-sentinel-policies,False,True,False,False,False,False,False,False
achuchulev/terraform-sentinel-policies,False,True,False,False,False,False,False,False
achuchulev/terraform-sentinel-tags,False,True,False,False,False,False,False,False
actions-marketplace-validations/Legit-Labs_legitify,True,False,False,False,False,False,False,False
actions-marketplace-validations/koozz_opa-action,True,False,False,False,False,False,False,False
adamhalama/Kindergarden-toy-manager,False,True,False,False,False,False,False,False
adamskyjacob/Advising-Tool,False,True,False,False,False,False,False,False
ademclk/karsav-hackathon,False,True,False,False,False,False,False,False
adiazwise/CustomerAPI,False,True,False,False,False,False,False,False
adicefo/miniJobs,False,True,False,False,False,False,False,False
adipascaru17/minimal-API-JWT-Authentication,False,True,False,False,False,False,False,False
adityamillind98/gatekeeper,True,False,False,False,False,False,False,False
adminManoj/SampleAsp.NetCoreApp,False,True,False,False,False,False,False,False
ador-25/shopping-platform-generic-repository-pattern-api-net-core,False,True,False,False,False,False,False,False
adriano-arcanjo/atualizacao-exoApi,False,True,False,False,False,False,False,False
aenright-hashi/azure-sql-policy,False,True,False,False,False,False,False,False
afsalkhanmdt/booking-back-end,False,True,False,False,False,False,False,False
aggelosbj/C-_University,False,True,False,False,False,False,False,False
ahad-ullah/FinalYearProject,False,True,False,False,False,False,False,False
ahd3r/test-opa,True,False,False,False,False,False,False,False
ahmadmamdouh-10/DevFest22Asyut,False,True,False,False,False,False,False,False
ahmedsmrt/TodoApi,False,True,False,False,False,False,False,False
ahmet541/StajyerTakip,False,True,False,False,False,False,False,False
ahouab/Kubernetes-An-Enterprise-Guide,True,False,False,False,False,False,False,False
aidan-snyk/arm-scanning,True,False,False,False,False,False,False,False
aileron-gateway/aileron-gateway,True,False,False,False,False,False,False,False
ainacodes/REST-API,False,True,False,False,False,False,False,False
airarrazabald/CacheServicesApp,False,True,False,False,False,False,False,False
aj333git/Ecommerce_1,False,True,False,False,False,False,False,False
ajmalgit/JenkinsWebApplicationDemo-main,False,True,False,False,False,False,False,False
akbarali2019/C-with-.NET-Framework,False,True,False,False,False,False,False,False
akcy01/API-Projects,False,True,False,False,False,False,False,False
akilvishnum/DotnetAssignments,False,True,False,False,False,False,False,False
aklefdal/break-styra-git-integration,True,False,False,False,False,False,False,False
akunull/piloslib,False,True,False,False,False,False,False,False
albertochervenkov1/SoftUni-ASP.NET-Fundamentals,False,True,False,False,False,False,False,False
albinsylejmani/CRM-App,False,True,False,False,False,False,False,False
aldozulhaq/Multiplayer-Checker-Unity-over-Tcp-Protocol,False,True,False,False,False,False,False,False
aleatoricmbnt/base,True,False,False,False,False,False,False,False
alefra88/EjerciciosTich,False,True,False,False,False,False,False,False
aleksandradaw/Simple-Notebook,False,True,False,False,False,False,False,False
alenros/BlazorMinimalProblem,False,True,False,False,False,False,False,False
alex-toy/MicroserviceArchitectureAndImplementation_NET,False,True,False,False,False,False,False,False
alex-v08/Projects,True,False,False,False,False,False,False,False
alexander-kastil/mvc-devops,False,True,False,False,False,False,False,False
alexandrepd/BlazorApp,False,True,False,False,False,False,False,False
alexashley/cloud-native-fizzbuzz,True,False,False,False,False,False,False,False
alexbasista/sentinel-tfe-aws-assume-role,False,True,False,False,False,False,False,False
alexbod/sentinel-demo,False,True,False,False,False,False,False,False
alexbod/sentinel-mtest,False,True,False,False,False,False,False,False
alexkaloudis/.NET-Employee-CRM-With-Angular,False,True,False,False,False,False,False,False
alexmpc98/Engenharia-Informatica-IPS,False,True,False,False,False,False,False,False
alextanhongpin/fastify-starter,True,False,False,False,False,False,False,False
alextanhongpin/go-opa,True,False,False,False,False,False,False,False
alextanhongpin/node-opa,True,False,False,False,False,False,False,False
alexwing/kame-hame-ha-vr-oculus,False,True,False,False,False,False,False,False
alexx1902/KR,False,True,False,False,False,False,False,False
alezhao/microsoft-devhack,False,True,False,False,False,False,False,False
alicloud-hashicorp/webinar,False,True,False,False,False,False,False,False
alievh/travellour-api,False,True,False,False,False,False,False,False
alihaxan020/PocketBook,False,True,False,False,False,False,False,False
alihaxan020/WebApiCaching,False,True,False,False,False,False,False,False
alimakri/POE_CSHARP,False,True,False,False,False,False,False,False
alimehmet/dotnet_microservice,False,True,False,False,False,False,False,False
alinizam/BLM19417E_2022_2023_Fall,False,True,False,False,False,False,False,False
aliyehiawi/GameApp,False,True,False,False,False,False,False,False
allanacandrade/04f-Atividade-6,False,True,False,False,False,False,False,False
allanlevsen/HotChocolateDemo,False,True,False,False,False,False,False,False
allisonis/gcp-iam-sentinel-examples,False,True,False,False,False,False,False,False
alluvium-cloud/alluvium-cloud-policies,False,True,False,False,False,False,False,False
almasfathinirbah/MCC71,False,True,False,False,False,False,False,False
altinum/docfx_softeng,False,True,False,False,False,False,False,False
aluwanineth/horizonUI,False,True,False,False,False,False,False,False
alvin-kiveu/ToDoApi-C-Sherp,False,True,False,False,False,False,False,False
