full_name,has_rego,has_sentinel,has_pulumi,has_cedar,has_kyverno,has_custodian,has_awsconfigcloudgaurd,has_opagatekeeper,contributors_count
djibox/dotnetconf21,False,True,False,False,False,False,False,False,1
dkorolev/opa_in_docker_compose,True,False,False,False,False,False,False,False,1
dkorolev/opa_playground,True,False,False,False,False,False,False,False,1
dlavric/test-sentinel-libraries,False,True,False,False,False,False,False,False,1
dlisiewicz/technologie-dla-aplikacji-klasy-enterprise,False,True,False,False,False,False,False,False,2
dlminvestments/vm1-terrascan,True,False,False,False,False,False,False,False,70
dmytroKobylinskyi/exam,False,True,False,False,False,False,False,False,1
dnlwbr/Human-Robot-AR-Interface,False,True,False,False,False,False,False,False,1
dnsimple/dnsimple-api-examples,False,True,False,False,False,False,False,False,16
dnsimple/policy-library-dnsimple-terraform,False,True,False,False,False,False,False,False,2
docentt/keycloak-demos,True,False,False,False,False,False,False,False,3
doganaliyeniacun/patika_dotnet,False,True,False,False,False,False,False,False,1
doivjpxx/ShopperCleanArchitect,False,True,False,False,False,False,False,False,2
dominik-stec/.NET,False,True,False,False,False,False,False,False,1
dossancto/the-batman-website,False,True,False,False,False,False,False,False,2
doughtmw/hmd-ego-pose,False,True,False,False,False,False,False,False,1
doughtmw/surgeon-assist-net,False,True,False,False,False,False,False,False,1
douglasnaphas/play-rego,True,False,False,False,False,False,False,False,1
dpankov91/Polly_Retries,False,True,False,False,False,False,False,False,1
drikacoel/senai_mvc,False,True,False,False,False,False,False,False,1
drudgesentinel/example-sentinel-policies,False,True,False,False,False,False,False,False,1
drudgesentinel/repro-sentinel-policies,False,True,False,False,False,False,False,False,1
dsa0x/policy-example-library,False,True,False,False,False,False,False,False,2
dstarner/spacelift-tutorial,True,False,False,False,False,False,False,False,1
dstewart-harness/cie-lab-2,True,False,False,False,False,False,False,False,3
dthayyil/finance,False,True,False,False,False,False,False,False,1
dubbs1515/CityInfoAPI,False,True,False,False,False,False,False,False,2
dung30082001/VPS,False,True,False,False,False,False,False,False,1
dungmdung/ASM-NashTech,False,True,False,False,False,False,False,False,1
dungnthe150915FPT/SuppliesManagement,False,True,False,False,False,False,False,False,1
duradenzel/VisitorPlacementNew,False,True,False,False,False,False,False,False,1
duycs/ecommerce,False,True,False,False,False,False,False,False,1
duynd243/asp.net-api-cloudinary,False,True,False,False,False,False,False,False,1
dvillanueva2/DinoGroceryPractice,False,True,False,False,False,False,False,False,1
dward330/minimalAPI,False,True,False,False,False,False,False,False,1
dylanwin123/sidework,False,True,False,False,False,False,False,False,3
dynamicweb/Summit2022_APILandscape,False,True,False,False,False,False,False,False,1
e-manfrin/CadastroAluno,False,True,False,False,False,False,False,False,2
ebomart/opa-kubernetes,True,False,False,False,False,False,False,False,1
ecbenezra/kubecon-eu-2023-conftest,True,False,False,False,False,False,False,False,1
echaritonidis/MediatorApiExample,False,True,False,False,False,False,False,False,3
ecollazosbravo/TesisMotricidadFina,False,True,False,False,False,False,False,False,2
eda-dev-test/policy-testing-library,False,True,False,False,False,False,False,False,1
edgelesssys/contrast,True,False,False,False,False,False,False,False,22
edgelesssys/uplosi,True,False,False,False,False,False,False,False,9
edsoncanganjo/CQRSMediatR,False,True,False,False,False,False,False,False,2
edsudev/SMS,False,True,False,False,False,False,False,False,2
eduar2/PruebaMicroServicio,False,True,False,False,False,False,False,False,1
eduardocc997/Portafolio_NET6,False,True,False,False,False,False,False,False,1
eduardohg/APIDotNet6,False,True,False,False,False,False,False,False,1
eduardopiaui/04d---Atividade-4---Criar-o-restante-do-CRUD-de-projetos-testando-o-no-Insomnia,False,True,False,False,False,False,False,False,1
eduardoworrel/NDD-DEVinHouse,False,True,False,False,False,False,False,False,1
edunad/alyxStory,False,True,False,False,False,False,False,False,4
eefh/dotnet-work,False,True,False,False,False,False,False,False,1
eemr3/aceleracao-csharp,False,True,False,False,False,False,False,False,1
eemrebasdag/ecommerce-app_ASP.NET_Core,False,True,False,False,False,False,False,False,1
eermagic/aspnet-core-mvc-dynamic-grid-edit,False,True,False,False,False,False,False,False,1
efio-dk/tfcloud-demo-sentinel,False,True,False,False,False,False,False,False,1
eh-sa/dashboard,False,True,False,False,False,False,False,False,1
eideard-hm/asp.net-angular-sql_server-app,False,True,False,False,False,False,False,False,1
ekhubbell/PetSupplyPlus,False,True,False,False,False,False,False,False,5
ekremdermanel/Mvc-Dersleri,False,True,False,False,False,False,False,False,1
el-tegy/asp_dotnet_core_api_project_s8_bdtn,False,True,False,False,False,False,False,False,3
elahehab/TaaghcheBook,False,True,False,False,False,False,False,False,1
elastic/cloudbeat,True,False,False,False,False,False,False,False,36
elastic/csp-security-policies,True,False,False,False,False,False,False,False,15
elastic/harp,True,False,False,False,False,False,False,False,5
element-hq/matrix-authentication-service,True,False,False,False,False,False,False,False,41
elevran/opa-example,True,False,False,False,False,False,False,False,2
elf-is/DotLiquidTest,False,True,False,False,False,False,False,False,1
eliudsaj/apps,False,True,False,False,False,False,False,False,1
elle-Bee/terraform-practice,False,True,False,False,False,False,False,False,1
elmin387/Restaurants-Food-project,False,True,False,False,False,False,False,False,1
elvertoni/API,False,True,False,False,False,False,False,False,1
emanuel810/AplicacionWeb3Capas,False,True,False,False,False,False,False,False,1
embesozzi/opa-demoapi-spring,True,False,False,False,False,False,False,False,1
emersonamorim-dev/CadastroDespesas,False,True,False,False,False,False,False,False,1
emersonamorim-dev/UsuarioFullStack,False,True,False,False,False,False,False,False,1
emilgelman/ig,True,False,False,False,False,False,False,False,3
emilio-fv/ConcertGrail,False,True,False,False,False,False,False,False,1
emiliobresolin/GeekShooping-Microservices-dotnet6,False,True,False,False,False,False,False,False,1
emilyschwartau/seeSharp,False,True,False,False,False,False,False,False,1
emmygozi/shortletapp,True,False,False,False,False,False,False,False,1
emonsalves/NetCore6-Yutube,False,True,False,False,False,False,False,False,1
emorilebo/addMore,False,True,False,False,False,False,False,False,1
emreeayhaan/E-commerce,False,True,False,False,False,False,False,False,1
emtec-damodhar-jadhao/Visual_Studio_Practice,False,True,False,False,False,False,False,False,1
emtec-suraj-katare/aadeelh_latif,False,True,False,False,False,False,False,False,1
enesozmus/-.NetCore_patika_Task_6,False,True,False,False,False,False,False,False,1
engineerbishnu/WebApplication1,False,True,False,False,False,False,False,False,1
engrmazharjan/Employee-Management-System,False,True,False,False,False,False,False,False,1
enricosarneri/Advanced-User-Interfaces,False,True,False,False,False,False,False,False,2
enterprise-contract/ec-cli,True,False,False,False,False,False,False,False,31
enterprise-contract/ec-policies,True,False,False,False,False,False,False,False,26
env0/acme-demo,True,False,False,False,False,False,False,False,13
env0/acme-fitness,True,False,False,False,False,False,False,False,2
env0/approval-policies,True,False,False,False,False,False,False,False,5
env0/templates,True,False,False,False,False,False,False,False,33
ep-infosec/11_SAP_InfraBox,True,False,False,False,False,False,False,False,1
